,example_ids,all_SM_preds,all_SMA_preds,all_SM_probs,all_SMA_probs,all_labels
298,298,5,5,"[0.02612985484302044, 0.14604081213474274, 0.12028121948242188, 0.23221561312675476, 0.20053404569625854, 0.2747984528541565]","[0.015200400725007057, 0.13736091554164886, 0.06303991377353668, 0.1578647792339325, 0.27250537276268005, 0.354028582572937]",3
299,299,5,4,"[0.03366408497095108, 0.15652796626091003, 0.11037798970937729, 0.17460526525974274, 0.1994614154100418, 0.32536327838897705]","[0.013358167372643948, 0.11656181514263153, 0.12207353115081787, 0.26345255970954895, 0.28738728165626526, 0.19716668128967285]",2
300,300,5,5,"[0.04869389906525612, 0.13429607450962067, 0.07867211103439331, 0.22261588275432587, 0.19096335768699646, 0.32475870847702026]","[0.05665173381567001, 0.21462352573871613, 0.1244407594203949, 0.19976794719696045, 0.18512563407421112, 0.2193903625011444]",1
301,301,3,3,"[0.022852899506688118, 0.09390325844287872, 0.13953354954719543, 0.3719925582408905, 0.16007372736930847, 0.21164406836032867]","[0.01867055520415306, 0.1456250697374344, 0.17284341156482697, 0.34307923913002014, 0.19263939559459686, 0.12714233994483948]",2
302,302,5,5,"[0.016222912818193436, 0.09501141309738159, 0.08668792247772217, 0.24637116491794586, 0.25377869606018066, 0.3019278645515442]","[0.009726149030029774, 0.1309613287448883, 0.0499735027551651, 0.10942266136407852, 0.26875433325767517, 0.4311620593070984]",4
303,303,5,5,"[0.016537606716156006, 0.14789627492427826, 0.08655576407909393, 0.1945444643497467, 0.23428303003311157, 0.3201828598976135]","[0.018811650574207306, 0.15941619873046875, 0.07390106469392776, 0.14183631539344788, 0.2679516077041626, 0.3380831778049469]",1
304,304,5,1,"[0.02498924732208252, 0.15769051015377045, 0.09679830819368362, 0.19651906192302704, 0.20956169068813324, 0.31444114446640015]","[0.1358381062746048, 0.2854902446269989, 0.16995687782764435, 0.16188418865203857, 0.12922239303588867, 0.1176082193851471]",1
305,305,3,3,"[0.03060530684888363, 0.18464407324790955, 0.11139393597841263, 0.26216405630111694, 0.16895535588264465, 0.24223725497722626]","[0.023292195051908493, 0.15514090657234192, 0.10290707647800446, 0.276675820350647, 0.23132747411727905, 0.21065653860569]",5
306,306,5,3,"[0.023244548588991165, 0.17556875944137573, 0.09188707172870636, 0.21528194844722748, 0.18318794667720795, 0.31082966923713684]","[0.04461368918418884, 0.22007633745670319, 0.17531903088092804, 0.262724906206131, 0.1888161301612854, 0.10844993591308594]",1
307,307,5,3,"[0.06601980328559875, 0.10278348624706268, 0.09663918614387512, 0.2430490255355835, 0.2167837768793106, 0.27472472190856934]","[0.0615580677986145, 0.15497224032878876, 0.11709864437580109, 0.23759110271930695, 0.20920415222644806, 0.21957582235336304]",4
308,308,5,4,"[0.013722091913223267, 0.11695963144302368, 0.09080839157104492, 0.21751877665519714, 0.21481747925281525, 0.34617361426353455]","[0.045809391885995865, 0.17366759479045868, 0.15396203100681305, 0.21706633269786835, 0.2279384732246399, 0.18155622482299805]",3
309,309,5,4,"[0.03134298324584961, 0.18871517479419708, 0.11881758272647858, 0.2109629064798355, 0.2036629170179367, 0.24649840593338013]","[0.021501325070858, 0.17461006343364716, 0.127944216132164, 0.22666501998901367, 0.23795010149478912, 0.21132928133010864]",4
310,310,3,1,"[0.04813637584447861, 0.16724032163619995, 0.13118019700050354, 0.23982585966587067, 0.18324331939220428, 0.23037397861480713]","[0.07815472781658173, 0.25610750913619995, 0.14939841628074646, 0.23820218443870544, 0.1441037952899933, 0.13403336703777313]",2
311,311,5,3,"[0.019829273223876953, 0.16187426447868347, 0.09651432186365128, 0.2173672318458557, 0.1883954405784607, 0.3160194158554077]","[0.0327945239841938, 0.2235380858182907, 0.16504938900470734, 0.23348528146743774, 0.19362342357635498, 0.15150929987430573]",3
312,312,1,0,"[0.14341384172439575, 0.2593512237071991, 0.13383439183235168, 0.14143851399421692, 0.10731383413076401, 0.21464820206165314]","[0.3698013126850128, 0.2575578987598419, 0.19074134528636932, 0.10251118242740631, 0.04568416252732277, 0.03370409458875656]",0
313,313,3,3,"[0.0037176203913986683, 0.05456329882144928, 0.043563149869441986, 0.38335058093070984, 0.24293270707130432, 0.2718726694583893]","[0.004854052327573299, 0.13016098737716675, 0.07366923987865448, 0.30160731077194214, 0.27508309483528137, 0.2146253138780594]",4
314,314,5,3,"[0.02166581153869629, 0.13752946257591248, 0.07075962424278259, 0.23288926482200623, 0.22022509574890137, 0.3169308006763458]","[0.04572785273194313, 0.22213932871818542, 0.14357498288154602, 0.2557806074619293, 0.20549657940864563, 0.12728062272071838]",4
315,315,5,1,"[0.019569749012589455, 0.14553749561309814, 0.10435948520898819, 0.23729370534420013, 0.218999445438385, 0.27424007654190063]","[0.056870702654123306, 0.23947980999946594, 0.105775386095047, 0.208418607711792, 0.19914652407169342, 0.19030892848968506]",1
316,316,1,0,"[0.1646661013364792, 0.3236774802207947, 0.19315822422504425, 0.17271526157855988, 0.07992777228355408, 0.06585513055324554]","[0.44352367520332336, 0.28268131613731384, 0.12372657656669617, 0.08913969248533249, 0.037770383059978485, 0.023158324882388115]",5
317,317,5,3,"[0.006886865012347698, 0.08636132627725601, 0.05048854276537895, 0.255708783864975, 0.26115837693214417, 0.33939608931541443]","[0.011092915199697018, 0.1635570377111435, 0.12021473050117493, 0.30133330821990967, 0.2077050507068634, 0.19609692692756653]",5
318,318,5,3,"[0.029110735282301903, 0.15091171860694885, 0.1037130132317543, 0.1910332441329956, 0.1795380860567093, 0.3456932604312897]","[0.03417090326547623, 0.1752822995185852, 0.14326126873493195, 0.26423022150993347, 0.2237594574689865, 0.15929584205150604]",3
319,319,3,3,"[0.12865899503231049, 0.14611206948757172, 0.16963335871696472, 0.2197139412164688, 0.14022280275821686, 0.1956588476896286]","[0.08923748135566711, 0.15899905562400818, 0.19740189611911774, 0.2675168812274933, 0.17717529833316803, 0.10966939479112625]",0
320,320,5,1,"[0.03299630805850029, 0.1718982309103012, 0.08910750597715378, 0.18914473056793213, 0.2026052474975586, 0.3142479956150055]","[0.08281245827674866, 0.26594239473342896, 0.17363189160823822, 0.1930263787508011, 0.1456589549779892, 0.1389278918504715]",3
321,321,3,3,"[0.10728946328163147, 0.12592902779579163, 0.12125077843666077, 0.2669743299484253, 0.19110946357250214, 0.18744699656963348]","[0.05783021077513695, 0.15602728724479675, 0.1330896019935608, 0.3050476014614105, 0.21931453049182892, 0.12869076430797577]",4
322,322,5,5,"[0.0197577103972435, 0.15873754024505615, 0.08787224441766739, 0.20859107375144958, 0.20703066885471344, 0.31801074743270874]","[0.018131254240870476, 0.13308624923229218, 0.08673004060983658, 0.1858474314212799, 0.2779170870780945, 0.29828792810440063]",2
323,323,4,4,"[0.007342874072492123, 0.07989176362752914, 0.08869040012359619, 0.23790700733661652, 0.31112101674079895, 0.2750469744205475]","[0.005923289805650711, 0.0987650528550148, 0.11632592976093292, 0.298434317111969, 0.2996918857097626, 0.1808595359325409]",3
324,324,5,4,"[0.0036644863430410624, 0.053969647735357285, 0.030571933835744858, 0.30007293820381165, 0.27647507190704346, 0.33524593710899353]","[0.006125234067440033, 0.12946373224258423, 0.08678475767374039, 0.26679593324661255, 0.28796228766441345, 0.22286808490753174]",3
325,325,5,3,"[0.014566974714398384, 0.1170383170247078, 0.09171422570943832, 0.21201573312282562, 0.22205255925655365, 0.34261226654052734]","[0.016996782273054123, 0.15359999239444733, 0.11981365084648132, 0.2605576813220978, 0.24380244314670563, 0.20522941648960114]",4
326,326,5,1,"[0.023006677627563477, 0.22946098446846008, 0.08472093939781189, 0.15636231005191803, 0.15431401133537292, 0.3521351218223572]","[0.06305553019046783, 0.2897116243839264, 0.1780405044555664, 0.2091742604970932, 0.15114949643611908, 0.10886859893798828]",1
327,327,0,0,"[0.4098100960254669, 0.25793933868408203, 0.09109257161617279, 0.08860266953706741, 0.0681520476937294, 0.08440328389406204]","[0.4955359995365143, 0.2143985778093338, 0.08532726764678955, 0.07901443541049957, 0.06114289537072182, 0.06458079069852829]",5
328,328,5,1,"[0.04202030599117279, 0.22258268296718597, 0.10788571089506149, 0.18104957044124603, 0.15729692578315735, 0.28916478157043457]","[0.09932661056518555, 0.3846457302570343, 0.17427480220794678, 0.17508196830749512, 0.09398366510868073, 0.07268715649843216]",3
329,329,5,5,"[0.0144260935485363, 0.11399201303720474, 0.07276678085327148, 0.22165165841579437, 0.2518959939479828, 0.32526737451553345]","[0.0037093404680490494, 0.07951320707798004, 0.045680198818445206, 0.17155466973781586, 0.34377533197402954, 0.35576727986335754]",4
330,330,5,4,"[0.013269993476569653, 0.06759140640497208, 0.10509847849607468, 0.2235286682844162, 0.2934444844722748, 0.29706698656082153]","[0.021611977368593216, 0.11898242682218552, 0.1375945657491684, 0.2823648154735565, 0.2942218482494354, 0.14522434771060944]",5
331,331,1,1,"[0.03313324227929115, 0.2394704520702362, 0.13372355699539185, 0.19210979342460632, 0.16263610124588013, 0.2389269322156906]","[0.061393070966005325, 0.25913435220718384, 0.1512020379304886, 0.19296295940876007, 0.1736537516117096, 0.1616538166999817]",3
332,332,5,1,"[0.02422008104622364, 0.10858573764562607, 0.09036295115947723, 0.20424236357212067, 0.2358519583940506, 0.33673691749572754]","[0.2870822250843048, 0.30453163385391235, 0.15303634107112885, 0.13221997022628784, 0.0748675987124443, 0.04826221242547035]",1
333,333,1,0,"[0.0760955661535263, 0.24589674174785614, 0.1468333750963211, 0.17833058536052704, 0.11931165307760239, 0.23353207111358643]","[0.3218909800052643, 0.2946248948574066, 0.1702856421470642, 0.11597061157226562, 0.05002773925662041, 0.047200046479701996]",0
334,334,5,4,"[0.015628017485141754, 0.12951304018497467, 0.12118694186210632, 0.23191200196743011, 0.23559114336967468, 0.26616889238357544]","[0.013520646840333939, 0.16859331727027893, 0.12073793262243271, 0.19713018834590912, 0.2533505856990814, 0.2466673105955124]",4
335,335,5,1,"[0.04959043115377426, 0.18525247275829315, 0.11318819224834442, 0.19844625890254974, 0.2155797779560089, 0.23794282972812653]","[0.06540476530790329, 0.32167214155197144, 0.14360643923282623, 0.1931687444448471, 0.16622844338417053, 0.10991949588060379]",4
336,336,5,2,"[0.037726838141679764, 0.23135419189929962, 0.10329968482255936, 0.17352528870105743, 0.14180612564086914, 0.3122878670692444]","[0.204651340842247, 0.2361515462398529, 0.2535823881626129, 0.17693407833576202, 0.07182461768388748, 0.056856002658605576]",1
337,337,5,5,"[0.019879210740327835, 0.14223408699035645, 0.10162115097045898, 0.1948717087507248, 0.1986365169286728, 0.34275734424591064]","[0.019032608717679977, 0.1437195986509323, 0.08053593337535858, 0.1607830971479416, 0.2495030164718628, 0.3464256823062897]",1
338,338,5,4,"[0.022775739431381226, 0.162033349275589, 0.09540245682001114, 0.19786882400512695, 0.2000044286251068, 0.3219152092933655]","[0.0164978988468647, 0.15487514436244965, 0.10764579474925995, 0.22063718736171722, 0.25699371099472046, 0.24335025250911713]",2
339,339,3,5,"[0.05544572323560715, 0.13368837535381317, 0.15097808837890625, 0.2786315679550171, 0.18678896129131317, 0.19446729123592377]","[0.07810334861278534, 0.19621571898460388, 0.1360379159450531, 0.1913168579339981, 0.19244031608104706, 0.2058858722448349]",1
340,340,5,1,"[0.015119927003979683, 0.1518763154745102, 0.099100261926651, 0.20286786556243896, 0.2209850549697876, 0.3100506067276001]","[0.06258676201105118, 0.26982632279396057, 0.12007949501276016, 0.17052073776721954, 0.17267993092536926, 0.20430675148963928]",5
341,341,5,1,"[0.013230188749730587, 0.13312497735023499, 0.0739956721663475, 0.1989416778087616, 0.23071898519992828, 0.34998854994773865]","[0.04689009115099907, 0.2535720467567444, 0.18133218586444855, 0.22657272219657898, 0.17370693385601044, 0.11792603880167007]",1
342,342,5,5,"[0.019184639677405357, 0.12345271557569504, 0.095832958817482, 0.23439021408557892, 0.24906006455421448, 0.2780793607234955]","[0.002042808337137103, 0.04260861501097679, 0.0300703477114439, 0.1372188925743103, 0.3715565502643585, 0.41650280356407166]",5
343,343,5,3,"[0.017836321145296097, 0.1712106615304947, 0.12200834602117538, 0.21093961596488953, 0.1250997632741928, 0.3529052138328552]","[0.028602542355656624, 0.13786542415618896, 0.15577858686447144, 0.24293601512908936, 0.20542789995670319, 0.22938944399356842]",4
344,344,5,1,"[0.02160913310945034, 0.1515975445508957, 0.09868446737527847, 0.22317753732204437, 0.22761529684066772, 0.27731603384017944]","[0.09871500730514526, 0.2916228473186493, 0.20432130992412567, 0.20067404210567474, 0.13741867244243622, 0.06724817305803299]",3
345,345,5,1,"[0.022253498435020447, 0.17566651105880737, 0.10046368837356567, 0.18930917978286743, 0.1774551421403885, 0.3348519206047058]","[0.04764340817928314, 0.25097766518592834, 0.18145453929901123, 0.20961038768291473, 0.1634184867143631, 0.14689555764198303]",3
346,346,5,3,"[0.01270242128521204, 0.0849863588809967, 0.0725683867931366, 0.24254092574119568, 0.2521645724773407, 0.33503738045692444]","[0.02600215934216976, 0.1334167867898941, 0.11632110923528671, 0.2754133939743042, 0.25843217968940735, 0.19041438400745392]",1
347,347,1,1,"[0.10372508317232132, 0.4571742117404938, 0.12729375064373016, 0.13720741868019104, 0.1065208837389946, 0.0680786520242691]","[0.2536938488483429, 0.3850865960121155, 0.13435840606689453, 0.1169327050447464, 0.07107608765363693, 0.038852397352457047]",3
348,348,5,1,"[0.06054377183318138, 0.2182369828224182, 0.12649352848529816, 0.18504931032657623, 0.15211805701255798, 0.25755834579467773]","[0.13544347882270813, 0.2946523427963257, 0.19347523152828217, 0.16901640594005585, 0.10378187894821167, 0.10363072901964188]",0
349,349,3,1,"[0.07545720040798187, 0.1393987387418747, 0.17140516638755798, 0.25070443749427795, 0.1401577740907669, 0.22287671267986298]","[0.19788025319576263, 0.23464111983776093, 0.21007603406906128, 0.17133499681949615, 0.09176996350288391, 0.09429760277271271]",2
350,350,5,5,"[0.018600264564156532, 0.11573530733585358, 0.14456039667129517, 0.24042652547359467, 0.20365723967552185, 0.27702027559280396]","[0.02589040994644165, 0.23667241632938385, 0.13150648772716522, 0.17631058394908905, 0.18641382455825806, 0.2432062029838562]",1
351,351,5,1,"[0.03350892290472984, 0.21338747441768646, 0.10671868920326233, 0.18073560297489166, 0.16744397580623627, 0.29820534586906433]","[0.09984766691923141, 0.31003978848457336, 0.21581625938415527, 0.22787290811538696, 0.10472860932350159, 0.04169473797082901]",2
352,352,5,3,"[0.02056385949254036, 0.11065660417079926, 0.06878628581762314, 0.25150343775749207, 0.24089914560317993, 0.3075906038284302]","[0.014738298021256924, 0.1496269702911377, 0.10610361397266388, 0.3393001854419708, 0.25767433643341064, 0.13255660235881805]",4
353,353,5,1,"[0.012257874943315983, 0.20477096736431122, 0.09426138550043106, 0.17830607295036316, 0.11681114137172699, 0.3935925364494324]","[0.05955609679222107, 0.3165132999420166, 0.2133391797542572, 0.20600436627864838, 0.10460899770259857, 0.09997804462909698]",3
354,354,5,5,"[0.01654314622282982, 0.11389721184968948, 0.10306289792060852, 0.23045854270458221, 0.24267788231372833, 0.29336029291152954]","[0.018459929153323174, 0.14063049852848053, 0.0683518648147583, 0.19563226401805878, 0.28085970878601074, 0.29606571793556213]",5
355,355,5,0,"[0.037242524325847626, 0.1881745606660843, 0.0998247042298317, 0.1951906532049179, 0.17507925629615784, 0.30448830127716064]","[0.3566868305206299, 0.3168659508228302, 0.12126675248146057, 0.08794582635164261, 0.047137316316366196, 0.07009731233119965]",0
356,356,5,3,"[0.003847933141514659, 0.065242238342762, 0.05076322704553604, 0.27653759717941284, 0.27704837918281555, 0.3265606760978699]","[0.028528889641165733, 0.25960540771484375, 0.12665647268295288, 0.27241453528404236, 0.17178592085838318, 0.14100874960422516]",1
357,357,5,1,"[0.020501820370554924, 0.14196385443210602, 0.08900819718837738, 0.16837050020694733, 0.1979348212480545, 0.3822208344936371]","[0.15744908154010773, 0.27792471647262573, 0.17406442761421204, 0.16494689881801605, 0.12926481664180756, 0.09635009616613388]",2
358,358,5,2,"[0.012778040952980518, 0.2111177295446396, 0.10203734040260315, 0.15226031839847565, 0.13769976794719696, 0.3841068148612976]","[0.027844185009598732, 0.19900521636009216, 0.29011914134025574, 0.26539409160614014, 0.14629675447940826, 0.07134068012237549]",2
359,359,5,3,"[0.0436948724091053, 0.1725303679704666, 0.11377114057540894, 0.205067440867424, 0.16948847472667694, 0.2954476475715637]","[0.04056139662861824, 0.1598629355430603, 0.1818779855966568, 0.23461708426475525, 0.2257554531097412, 0.15732510387897491]",0
